first_name,last_name,middle_name,suffix,date_of_birth,gender,registration_id,address,city,state,zip,district_id
Ryker,Ferguson,,,23882,M,2767548,7758 Fawn Court,Lafayette,NV,98486,PA10
Kailee,Beasley,,,9989,F,2277655,9195 Willow Drive,Waterloo,NC,88147,TX23
Neil,Owen,H,Jr,20102,M,8737612,8246 Route 30,Conroe,CA,10603,TX23
Monique,David,,,14641,F,1070700,3758 Hamilton Street,Bozeman,IL,63736,CA10
German,Fuller,D,,23974,M,2771416,3950 Roberts Road,Norwalk,WI,63392,FL27
Rose,Kelley,,Jr,27435,F,8548011,9991 Pin Oak Drive,Bowie,MI,83891,OH12
Ali,Cherry,,,26214,F,6201404,606 Route 2,Lawrence,CT,32319,AZ02
Zavier,Schroeder,,Sr,28563,M,8031855,8515 Hilltop Road,Porterville,WI,99135,AZ02
Lincoln,Rivera,,,30878,M,1630238,6803 Victoria Court,Schaumburg,IA,20125,MN02
Alexis,Chan,,,12944,F,5512940,369 Hillcrest Avenue,Altamonte Springs,MN,37641,MN02
Izabella,Cunningham,,,25031,F,1202877,9117 Strawberry Lane,Friendswood,TX,79064,TX23
Destiney,Beasley,,,20630,F,8783427,1611 Spruce Avenue,Auburn,AK,85293,GA06
Emmett,Atkins,,,14732,M,8880611,9922 Oxford Road,Fargo,SC,73170,TX23
Fatima,Dillon,,,14536,F,5419794,3882 College Street,Renton,ID,60600,AZ02
Byron,Chambers,,,19944,M,4298818,310 Cemetery Road,Walnut Creek,IN,47738,MN02
Paityn,Mcpherson,,,19429,F,2496607,5051 Pin Oak Drive,Farmington,WV,29177,PA10
Jane,Fitzpatrick,,,32148,F,8756003,1901 3rd Street East,Yucaipa,MD,31337,OH12
Monique,Mayo,,,22140,F,2237487,7627 Canterbury Road,Pomona,OH,23043,MN02
Conrad,Bates,,,11320,M,3816279,9753 Hudson Street,Taylor,TX,91066,TX23
London,Dixon,,,20555,F,1603459,8518 2nd Avenue,Hoboken,ND,52689,FL27
Monique,Atkins,P,,21908,F,3910756,4317 Forest Avenue,Wichita,ME,24292,CA10
Alexis,Trevino,A,,23264,F,9081623,1692 6th Street,Draper,HI,14746,MN02
Lorelai,Kirby,A,,28274,F,1195372,3200 Cottage Street,Lakeland,DC,49859,GA06
Alexis,Trevino,G,,32848,F,1668478,5539 Linda Lane,Florissant,MT,75191,TX23
Hayden,Braun,,,35289,F,8763526,3551 Manor Drive,Lawrence,KY,78667,PA10
Layton,Mcclure,,III,27642,M,5242460,9066 3rd Street North,Everett,FL,67257,TX23
Isaias,Carter,,Sr,15971,M,2121444,3147 Willow Drive,Roseville,ID,87649,CA10
Makenna,Chan,,,12211,F,1189182,5724 Meadow Street,Springfield,ID,24722,GA06
Margaret,Cain,E,,24146,F,7612518,2663 High Street,Royal Oak,MT,62456,MN02
Aniya,Owen,,,32617,F,4280572,340 5th Street East,Oshkosh,MO,34830,PA10
Serena,Gibbs,,,13535,F,2223956,3204 Forest Avenue,Burleson,GA,32655,GA06
Destiney,Irwin,,,11523,F,9415544,3655 Oxford Road,Winter Garden,OH,90991,TX23
Luna,Chan,N,,35176,F,2924853,2023 14th Street,Orlando,VA,78916,FL27
Maddison,Cherry,,,26389,F,6905030,67 Manor Drive,Coral Gables,OK,13371,FL27
Destiney,Beasley,,,24420,F,8369425,5281 3rd Street North,Lake Charles,KS,84537,CA10
Zara,Ferguson,,,11115,F,9528145,7532 White Street,Sioux Falls,SC,15728,FL27
Isis,Henderson,W,III,20340,F,2452410,9916 Woodland Road,Lincoln Park,WA,63674,MN02
Amanda,Gould,,,24365,F,9598972,4081 14th Street,Daly City,IN,79218,GA06
Tanya,Cain,,Sr,33242,F,3825754,7035 Oak Lane,Victorville,MT,75917,FL27
Lia,Owen,,,31003,F,8764862,3132 State Street East,Torrance,NY,38484,TX23
Karma,Moody,V,,33587,F,3076492,6808 Linda Lane,McKinney,WI,61258,OH12
Valerie,David,,,12455,F,8207383,9633 Canterbury Court,Upland,PA,42109,FL27
Mercedes,Kramer,,,30219,F,1825317,9533 College Street,Redding,KS,81097,MN02
Brian,Ashley,,,15248,M,3335954,1204 High Street,Cedar Hill,SC,18469,OH12
Paola,Garrison,,,13742,F,4533656,9534 Willow Drive,Evanston,VT,69763,AZ02
Marely,Mathis,,,16898,F,9951941,2670 Spruce Avenue,Beaumont,VT,19157,GA06
Jett,Owen,,,30351,M,1304121,7606 Forest Avenue,Hutchinson,VA,56972,CA10
